vernacular_name,scientific_name,groupe,uicn_world,uicn_france
Canard souchet,Spatula clypeata,Oiseau,LC,LC
Chardonneret élégant,Carduelis carduelis,Oiseau,LC,LC
Chocard à bec jaune,Pyrrhocorax graculus,Oiseau,LC,LC
Choucas des tours,Coloeus monedula,Oiseau,LC,LC
Chouette chevêche,Athene noctua,Oiseau,LC,NT
Chouette de Tengmalm,Aegolius funereus,Oiseau,LC,LC
Chouette hulotte,Strix aluco,Oiseau,LC,LC
Cigogne blanche,Ciconia ciconia,Oiseau,LC,LC
Cigogne noire,Ciconia nigra,Oiseau,LC,LC
Cincle plongeur,Cinclus cinclus,Oiseau,LC,LC
Circaète Jean-le-Blanc,Circaetus gallicus,Oiseau,LC,LC
Cisticole des joncs,Cisticola juncidis,Oiseau,LC,LC
Cochevis huppé,Galerida cristata,Oiseau,LC,NT
Corbeau freux,Corvus frugilegus,Oiseau,LC,LC
Corneille noire,Corvus corone,Oiseau,LC,LC
Coucou gris,Cuculus canorus,Oiseau,LC,LC
Courlis cendré,Numenius arquata,Oiseau,NT,VU
Crave à bec rouge,Pyrrhocorax pyrrhocorax,Oiseau,LC,LC
Effraie des clochers,Tyto alba,Oiseau,LC,LC
Engoulevent d'Europe,Caprimulgus europaeus,Oiseau,LC,NT
Epervier d'Europe,Accipiter nisus,Oiseau,LC,LC
Etourneau sansonnet,Sturnus vulgaris,Oiseau,LC,LC
Faisan de Colchide,Phasianus colchicus,Oiseau,LC,
Faucon crécerelle,Falco tinnunculus,Oiseau,LC,LC
Faucon hobereau,Falco subbuteo,Oiseau,LC,LC
Faucon kobez,Falco vespertinus,Oiseau,NT,EN
Faucon pèlerin,Falco peregrinus,Oiseau,LC,LC
Fauvette babillarde,Curruca curruca,Oiseau,LC,LC
Fauvette des jardins,Sylvia borin,Oiseau,LC,LC
Fauvette grisette,Curruca communis,Oiseau,LC,LC
Fauvette mélanocéphale,Curruca melanocephala,Oiseau,LC,LC
Fauvette pitchou,Curruca undata,Oiseau,LC,NT
Fauvette à tête noire,Sylvia atricapilla,Oiseau,LC,LC
Foulque macroule,Fulica atra,Oiseau,LC,LC
Fuligule milouin,Aythya ferina,Oiseau,VU,VU
Fuligule morillon,Aythya fuligula,Oiseau,LC,LC
Geai des chênes,Garrulus glandarius,Oiseau,LC,LC
Gobemouche gris,Muscicapa striata,Oiseau,LC,LC
Gobemouche noir,Ficedula hypoleuca,Oiseau,LC,LC
Gobemouche à collier,Ficedula albicollis,Oiseau,LC,LC
Gorgebleue à miroir,Luscinia svecica,Oiseau,LC,LC
Gorgebleue à miroir blanc,Luscinia svecica cyanecula,Oiseau,LC,LC
Grand Corbeau,Corvus corax,Oiseau,LC,LC
Grand Tétras,Tetrao urogallus,Oiseau,LC,VU
Grande Aigrette,Ardea alba,Oiseau,LC,LC
Grimpereau des bois,Certhia familiaris,Oiseau,LC,LC
Grimpereau des jardins,Certhia brachydactyla,Oiseau,LC,LC
Grive draine,Turdus viscivorus,Oiseau,LC,LC
Grive litorne,Turdus pilaris,Oiseau,LC,LC
Grive mauvis,Turdus iliacus,Oiseau,LC,LC
Grive musicienne,Turdus philomelos,Oiseau,LC,LC
Grue cendrée,Grus grus,Oiseau,LC,LC
Grèbe castagneux,Tachybaptus ruficollis,Oiseau,LC,LC
Grèbe huppé,Podiceps cristatus,Oiseau,LC,LC
Guêpier d'Europe,Merops apiaster,Oiseau,LC,LC
Gélinotte des bois,Tetrastes bonasia,Oiseau,LC,NT
Hibou des marais,Asio flammeus,Oiseau,LC,VU
Hibou grand-duc,Bubo bubo,Oiseau,LC,LC
Hibou moyen-duc,Asio otus,Oiseau,LC,LC
Hirondelle de fenêtre,Delichon urbicum,Oiseau,LC,NT
Hirondelle de rivage,Riparia riparia,Oiseau,LC,NT
Hirondelle rustique,Hirundo rustica,Oiseau,LC,NT
Huppe fasciée,Upupa epops,Oiseau,LC,LC
Hypolaïs polyglotte,Hippolais polyglotta,Oiseau,LC,LC
Héron cendré,Ardea cinerea,Oiseau,LC,LC
Héron pourpré,Ardea purpurea,Oiseau,LC,LC
Lagopède alpin,Lagopus muta,Oiseau,LC,LC
Linotte mélodieuse,Linaria cannabina,Oiseau,LC,NT
Locustelle luscinioïde,Locustella luscinioides,Oiseau,LC,LC
Locustelle tachetée,Locustella naevia,Oiseau,LC,LC
Loriot d'Europe,Oriolus oriolus,Oiseau,LC,LC
Lusciniole à moustaches,Acrocephalus melanopogon,Oiseau,LC,EN
Marouette ponctuée,Porzana porzana,Oiseau,LC,NT
Martin-pêcheur d'Europe,Alcedo atthis,Oiseau,LC,NT
Martinet noir,Apus apus,Oiseau,LC,NT
Martinet à ventre blanc,Tachymarptis melba,Oiseau,LC,LC
Merle noir,Turdus merula,Oiseau,LC,LC
Milan noir,Milvus migrans,Oiseau,LC,LC
Milan royal,Milvus milvus,Oiseau,LC,NT
Moineau domestique,Passer domesticus,Oiseau,LC,NT
Moineau friquet,Passer montanus,Oiseau,LC,NT
Monticole bleu,Monticola solitarius,Oiseau,LC,LC
Monticole de roche,Monticola saxatilis,Oiseau,LC,NT
Mésange bleue,Cyanistes caeruleus,Oiseau,LC,LC
Mésange boréale,Poecile montanus,Oiseau,LC,LC
Mésange charbonnière,Parus major,Oiseau,LC,LC
Mésange huppée,Lophophanes cristatus,Oiseau,LC,LC
Mésange noire,Periparus ater,Oiseau,LC,LC
Mésange nonnette,Poecile palustris,Oiseau,LC,LC
Mésange à longue queue,Aegithalos caudatus,Oiseau,LC,LC
Panure à moustaches,Panurus biarmicus,Oiseau,LC,LC
Perdrix bartavelle,Alectoris graeca,Oiseau,LC,NT
Perdrix grise,Perdix perdix,Oiseau,LC,VU
Perdrix rouge,Alectoris rufa,Oiseau,LC,NT
Petit-duc scops,Otus scops,Oiseau,LC,NT
Phragmite aquatique,Acrocephalus paludicola,Oiseau,VU,VU
Phragmite des joncs,Acrocephalus schoenobaenus,Oiseau,LC,NT
Pic cendré,Picus canus,Oiseau,LC,NT
Pic mar,Leiopicus medius,Oiseau,LC,LC
Pic noir,Dryocopus martius,Oiseau,LC,LC
Pic vert,Picus viridis,Oiseau,LC,LC
Pic épeiche,Dendrocopos major,Oiseau,LC,LC
Pic épeichette,Dryobates minor,Oiseau,LC,NT
Pie bavarde,Pica pica,Oiseau,LC,LC
Pie-grièche grise,Lanius excubitor,Oiseau,LC,VU
Pie-grièche à poitrine rose,Lanius minor,Oiseau,LC,CR
Pie-grièche à tête rousse,Lanius senator,Oiseau,LC,EN
Pie-grièche écorcheur,Lanius collurio,Oiseau,LC,NT
Pigeon colombin,Columba oenas,Oiseau,LC,LC
Pigeon ramier,Columba palumbus,Oiseau,LC,LC
Pinson des arbres,Fringilla coelebs,Oiseau,LC,LC
Pinson du Nord,Fringilla montifringilla,Oiseau,LC,LC
Pipit des arbres,Anthus trivialis,Oiseau,LC,LC
Pipit farlouse,Anthus pratensis,Oiseau,LC,NT
Pipit rousseline,Anthus campestris,Oiseau,LC,NT
Pipit spioncelle,Anthus spinoletta,Oiseau,LC,LC
Pipit à gorge rousse,Anthus cervinus,Oiseau,LC,
Pouillot de Bonelli,Phylloscopus bonelli,Oiseau,LC,LC
Pouillot fitis,Phylloscopus trochilus,Oiseau,LC,LC
Pouillot siffleur,Phylloscopus sibilatrix,Oiseau,LC,NT
Pouillot véloce,Phylloscopus collybita,Oiseau,LC,LC
Poule d'eau,Gallinula chloropus,Oiseau,LC,LC
Pygargue à queue blanche,Haliaeetus albicilla,Oiseau,LC,RE
Remiz penduline,Remiz pendulinus,Oiseau,LC,LC
Roitelet huppé,Regulus regulus,Oiseau,LC,LC
Roitelet triple-bandeau,Regulus ignicapilla,Oiseau,LC,LC
Rollier d'Europe,Coracias garrulus,Oiseau,LC,EN
Rossignol philomèle,Luscinia megarhynchos,Oiseau,LC,LC
Rouge-gorge familier,Erithacus rubecula,Oiseau,LC,LC
Rougequeue de Moussier,Phoenicurus moussieri,Oiseau,LC,
Rougequeue noir,Phoenicurus ochruros,Oiseau,LC,LC
Rougequeue à front blanc,Phoenicurus phoenicurus,Oiseau,LC,LC
Rousserolle effarvatte,Acrocephalus scirpaceus,Oiseau,LC,LC
Rousserolle turdoïde,Acrocephalus arundinaceus,Oiseau,LC,LC
Râle des genêts,Crex crex,Oiseau,LC,EN
Sarcelle d'hiver,Anas crecca,Oiseau,LC,LC
Sarcelle d'été,Spatula querquedula,Oiseau,LC,NT
Serin cini,Serinus serinus,Oiseau,LC,NT
Sittelle torchepot,Sitta europaea,Oiseau,LC,LC
Sizerin flammé,Acanthis flammea,Oiseau,LC,LC
Tarier des prés,Saxicola rubetra,Oiseau,LC,NT
Tarin des aulnes,Spinus spinus,Oiseau,LC,LC
Tichodrome échelette,Tichodroma muraria,Oiseau,LC,LC
Torcol fourmilier,Jynx torquilla,Oiseau,LC,NT
Tourterelle des bois,Streptopelia turtur,Oiseau,VU,VU
Tourterelle turque,Streptopelia decaocto,Oiseau,LC,LC
Traquet motteux,Oenanthe oenanthe,Oiseau,LC,LC
Traquet pâtre,Saxicola rubicola,Oiseau,LC,LC
Traquet rieur,Oenanthe leucura,Oiseau,LC,
Troglodyte mignon,Troglodytes troglodytes,Oiseau,LC,LC
Tétras lyre,Lyrurus tetrix,Oiseau,LC,NT
Vanneau huppé,Vanellus vanellus,Oiseau,LC,VU
Verdier d'Europe,Chloris chloris,Oiseau,LC,LC
Épervier d'Europe,Accipiter nisus,Oiseau,LC,LC
Étourneau sansonnet,Sturnus vulgaris,Oiseau,LC,LC
